classe,alto_potencial,potencial_cargo,CD_setor,NM_BAIRRO,quantidade_oportunidade,tamanho_oportunidade,alta_oportunidade,Valor,Classe_Quartil,latlon,lat,lon,cep,oportunidade
Ideal,True,,410150705000038,,4,ALTÍSSIMA,True,0.5926317862248024,4,"(-23.388492, -51.441420)",-23.38849179999997,-51.44141978553121,,4
Ideal,True,,410150705000092,,4,ALTÍSSIMA,True,0.595793784724753,4,"(-23.386904, -51.439529)",-23.38690404999994,-51.43952926388778,,4
Sub-ideal,False,,410150705000114,,4,ALTÍSSIMA,True,0.5616385854399133,3,"(-23.389718, -51.444903)",-23.38971834999998,-51.44490268012213,,4
Sub-ideal,False,,410150705000137,,4,ALTÍSSIMA,True,0.5614604744328263,3,"(-23.397645, -51.411903)",-23.397645049999966,-51.411903366953844,,4
Sub-ideal,False,,410150705000012,,3,ALTA,True,0.5687934791856181,3,"(-23.422887, -51.428985)",-23.422887499999945,-51.42898474593601,,3
Sub-ideal,False,,410150705000014,,3,ALTA,True,0.5616272353335862,3,"(-23.420955, -51.436037)",-23.42095514999994,-51.43603712832236,,3
Sub-ideal,False,,410150705000034,,3,ALTA,True,0.5618569151891011,3,"(-23.395259, -51.456973)",-23.39525889999996,-51.456972899342645,,3
Sub-ideal,False,,410150705000037,,3,ALTA,True,0.5893315653920028,4,"(-23.385791, -51.444292)",-23.38579109999995,-51.44429182407229,,3
Sub-ideal,False,,410150705000041,,3,ALTA,True,0.5645527796216557,3,"(-23.394054, -51.429712)",-23.394054199999943,-51.42971185979455,,3
Sub-ideal,False,,410150705000043,,3,ALTA,True,0.5653100686950372,3,"(-23.397295, -51.432378)",-23.397295499999956,-51.4323782385207,,3
Sub-ideal,False,,410150705000045,,3,ALTA,True,0.5619216219008492,3,"(-23.402088, -51.433264)",-23.40208814999994,-51.433264295120495,,3
Sub-ideal,False,,410150705000051,,3,ALTA,True,0.5662037588932718,3,"(-23.376787, -51.413339)",-23.37678704999996,-51.41333886417725,,3
Sub-ideal,False,,410150705000053,,3,ALTA,True,0.5616413648172143,3,"(-23.389752, -51.416152)",-23.38975199999996,-51.416151768692345,,3
Sub-ideal,False,,410150705000054,,3,ALTA,True,0.5607315762264127,3,"(-23.393355, -51.414059)",-23.393354599999952,-51.41405926014979,,3
Sub-ideal,False,,410150705000066,,3,ALTA,True,0.57897357917928,4,"(-23.409134, -51.418300)",-23.40913429999995,-51.41829994487726,,3
Sub-ideal,False,,410150705000071,,3,ALTA,True,0.5902136000943999,4,"(-23.428581, -51.425534)",-23.428581099999974,-51.42553432951284,,3
Sub-ideal,False,,410150705000073,,3,ALTA,True,0.596810489822538,4,"(-23.428528, -51.431602)",-23.42852824999997,-51.43160195939908,,3
Sub-ideal,False,,410150705000074,,3,ALTA,True,0.5983173944595792,4,"(-23.433001, -51.426897)",-23.433000749999934,-51.426897024756116,,3
Sub-ideal,False,,410150705000075,,3,ALTA,True,0.596029431268674,4,"(-23.451346, -51.431276)",-23.451346299999955,-51.431275571818084,,3
Sub-ideal,False,,410150705000076,,3,ALTA,True,0.598139585368501,4,"(-23.454256, -51.429869)",-23.454255849999953,-51.42986903502798,,3
Sub-ideal,False,,410150705000077,,3,ALTA,True,0.5981178357745852,4,"(-23.459463, -51.426385)",-23.45946324999997,-51.42638464663962,,3
Sub-ideal,False,,410150705000085,,3,ALTA,True,0.570486347954956,3,"(-23.384472, -51.411667)",-23.38447249999996,-51.4116666724191,,3
Sub-ideal,False,,410150705000089,,3,ALTA,True,0.584396928372832,4,"(-23.426490, -51.429713)",-23.426490349999966,-51.42971342554998,,3
Sub-ideal,False,,410150705000095,,3,ALTA,True,0.5762933538665942,3,"(-23.378846, -51.446734)",-23.37884614999996,-51.44673390516026,,3
Sub-ideal,False,,410150705000096,,3,ALTA,True,0.5747794033275961,3,"(-23.421566, -51.351417)",-23.42156559999995,-51.3514168431187,,3
Sub-ideal,False,,410150705000097,,3,ALTA,True,0.5824564190829251,4,"(-23.439898, -51.385888)",-23.439898299999953,-51.385888194202195,,3
Sub-ideal,False,,410150705000102,,3,ALTA,True,0.5804674222496455,4,"(-23.442710, -51.514185)",-23.442709649999955,-51.5141847968051,,3
Sub-ideal,False,,410150705000110,,3,ALTA,True,0.5618401483882827,3,"(-23.392541, -51.453976)",-23.392540999999966,-51.453975543019475,,3
Sub-ideal,False,,410150705000117,,3,ALTA,True,0.5621254746878671,3,"(-23.395033, -51.415232)",-23.39503309999995,-51.41523193717775,,3
Sub-ideal,False,,410150705000120,,3,ALTA,True,0.5685063528592702,3,"(-23.418029, -51.415240)",-23.41802889999994,-51.4152403474828,,3
Sub-ideal,False,,410150705000124,,3,ALTA,True,0.5964329096823607,4,"(-23.430169, -51.428473)",-23.43016869999994,-51.42847267153036,,3
Sub-ideal,False,,410150705000125,,3,ALTA,True,0.5977733079401291,4,"(-23.431929, -51.427888)",-23.43192924999994,-51.42788823253453,,3
Sub-ideal,False,,410150705000126,,3,ALTA,True,0.595575561325204,4,"(-23.450027, -51.427339)",-23.450026849999972,-51.42733914418708,,3
Sub-ideal,False,,410150705000127,,3,ALTA,True,0.5974334605502757,4,"(-23.451516, -51.426619)",-23.451515649999976,-51.42661853433117,,3
Sub-ideal,False,,410150705000128,,3,ALTA,True,0.6003498768737502,4,"(-23.457148, -51.435795)",-23.45714844999995,-51.43579521619439,,3
Sub-ideal,False,,410150705000129,,3,ALTA,True,0.6019166084131748,4,"(-23.459119, -51.430606)",-23.459119199999947,-51.43060562032727,,3
Sub-ideal,False,,410150705000132,,3,ALTA,True,0.563128222726241,3,"(-23.415687, -51.462122)",-23.415686799999946,-51.46212172620086,,3
Sub-ideal,False,,410150705000133,,3,ALTA,True,0.5772601540616247,3,"(-23.424244, -51.462432)",-23.42424429999997,-51.462431734142335,,3
